Case ID,Activity,Resource,Complete Timestamp,concept:name,customer,lifecycle:transition,org:resource,product,responsible_section,seriousness,service_level,service_type,support_section,workgroup
Case306,Resolve ticket,Value 2,2010/09/20 16:24:30.000,Resolve ticket,Value 140,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case4088,Take in charge ticket,Value 2,2010/09/20 16:28:15.000,Take in charge ticket,Value 140,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case4088,Resolve ticket,Value 2,2010/09/20 16:28:52.000,Resolve ticket,Value 140,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3716,Start,Start,2010/09/20 16:41:40.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3716,Assign seriousness,Value 7,2010/09/20 16:41:40.000,Assign seriousness,Value 53,complete,Value 7,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3716,Take in charge ticket,Value 7,2010/09/20 16:42:53.000,Take in charge ticket,Value 53,complete,Value 7,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3716,Resolve ticket,Value 7,2010/09/20 16:43:02.000,Resolve ticket,Value 53,complete,Value 7,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1542,Start,Start,2010/09/20 16:49:31.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1542,Assign seriousness,Value 7,2010/09/20 16:49:31.000,Assign seriousness,Value 9,complete,Value 7,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case158,Start,Start,2010/09/20 16:57:01.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case158,Assign seriousness,Value 7,2010/09/20 16:57:01.000,Assign seriousness,Value 9,complete,Value 7,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case4500,Start,Start,2010/09/20 16:58:57.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4500,Assign seriousness,Value 7,2010/09/20 16:58:57.000,Assign seriousness,Value 81,complete,Value 7,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3949,Start,Start,2010/09/20 17:21:07.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3949,Assign seriousness,Value 14,2010/09/20 17:21:07.000,Assign seriousness,Value 120,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3949,Take in charge ticket,Value 14,2010/09/20 17:21:38.000,Take in charge ticket,Value 120,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3949,Resolve ticket,Value 14,2010/09/20 17:23:15.000,Resolve ticket,Value 120,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1279,Take in charge ticket,Value 2,2010/09/21 08:12:53.000,Take in charge ticket,Value 18,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1279,Resolve ticket,Value 2,2010/09/21 08:13:28.000,Resolve ticket,Value 18,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case3012,Wait,Value 9,2010/09/21 08:29:14.000,Wait,Value 110,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case4237,Assign seriousness,Value 2,2010/09/21 08:31:45.000,Assign seriousness,Value 202,complete,Value 2,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case4237,Take in charge ticket,Value 2,2010/09/21 08:31:56.000,Take in charge ticket,Value 202,complete,Value 2,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case4250,Wait,Value 9,2010/09/21 08:36:30.000,Wait,Value 219,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case158,Take in charge ticket,Value 2,2010/09/21 08:45:37.000,Take in charge ticket,Value 9,complete,Value 2,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case4561,Take in charge ticket,Value 14,2010/09/21 08:52:04.000,Take in charge ticket,Value 66,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case4561,Resolve ticket,Value 14,2010/09/21 08:52:18.000,Resolve ticket,Value 66,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case158,Resolve ticket,Value 2,2010/09/21 08:53:48.000,Resolve ticket,Value 9,complete,Value 2,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1258,Resolve ticket,Value 14,2010/09/21 08:54:28.000,Resolve ticket,Value 66,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1018,Resolve ticket,Value 2,2010/09/21 09:24:19.000,Resolve ticket,Value 10,complete,Value 2,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case925,Resolve ticket,Value 14,2010/09/21 09:37:41.000,Resolve ticket,Value 16,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2650,Resolve ticket,Value 14,2010/09/21 09:48:23.000,Resolve ticket,Value 66,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1593,Resolve ticket,Value 14,2010/09/21 09:51:40.000,Resolve ticket,Value 34,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3548,Start,Start,2010/09/21 10:19:31.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3548,Assign seriousness,Value 9,2010/09/21 10:19:31.000,Assign seriousness,Value 66,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3548,Take in charge ticket,Value 9,2010/09/21 10:20:04.000,Take in charge ticket,Value 66,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3548,Resolve ticket,Value 9,2010/09/21 10:22:32.000,Resolve ticket,Value 66,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1849,Take in charge ticket,Value 2,2010/09/21 10:28:54.000,Take in charge ticket,Value 55,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 3,Value 1,Value 1
Case2443,Closed,Value 5,2010/09/21 11:06:23.000,Closed,Value 57,complete,Value 5,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case195,Start,Start,2010/09/21 11:53:00.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case195,Assign seriousness,Value 9,2010/09/21 11:53:00.000,Assign seriousness,Value 10,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case3523,Resolve ticket,Value 11,2010/09/21 13:13:56.000,Resolve ticket,Value 45,complete,Value 11,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case358,Take in charge ticket,Value 9,2010/09/21 13:27:07.000,Take in charge ticket,Value 100,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case358,Resolve ticket,Value 9,2010/09/21 13:27:19.000,Resolve ticket,Value 100,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case3050,Take in charge ticket,Value 2,2010/09/21 14:47:44.000,Take in charge ticket,Value 200,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case172,Take in charge ticket,Value 14,2010/09/21 15:03:12.000,Take in charge ticket,Value 65,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2953,Start,Start,2010/09/21 15:28:40.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2953,Assign seriousness,Value 14,2010/09/21 15:28:40.000,Assign seriousness,Value 66,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2953,Take in charge ticket,Value 14,2010/09/21 15:30:18.000,Take in charge ticket,Value 66,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2336,Take in charge ticket,Value 14,2010/09/21 16:04:13.000,Take in charge ticket,Value 22,complete,Value 14,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case3784,Closed,Value 5,2010/09/21 16:08:35.000,Closed,Value 259,complete,Value 5,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3369,Start,Start,2010/09/21 17:07:06.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3369,Assign seriousness,Value 9,2010/09/21 17:07:06.000,Assign seriousness,Value 71,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case4500,Take in charge ticket,Value 14,2010/09/22 08:43:46.000,Take in charge ticket,Value 81,complete,Value 14,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4500,Resolve ticket,Value 14,2010/09/22 08:44:01.000,Resolve ticket,Value 81,complete,Value 14,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1491,Closed,Value 5,2010/09/22 09:15:32.000,Closed,Value 22,complete,Value 5,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case3050,Wait,Value 7,2010/09/22 10:04:44.000,Wait,Value 200,complete,Value 7,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3050,Take in charge ticket,Value 7,2010/09/22 10:21:21.000,Take in charge ticket,Value 200,complete,Value 7,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case3050,Resolve ticket,Value 7,2010/09/22 10:31:04.000,Resolve ticket,Value 200,complete,Value 7,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1425,Start,Start,2010/09/22 10:38:46.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1425,Assign seriousness,Value 7,2010/09/22 10:38:46.000,Assign seriousness,Value 292,complete,Value 7,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1849,Resolve ticket,Value 2,2010/09/22 10:58:32.000,Resolve ticket,Value 55,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 3,Value 1,Value 1
Case2995,Start,Start,2010/09/22 11:12:24.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2995,Assign seriousness,Value 9,2010/09/22 11:12:24.000,Assign seriousness,Value 9,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case2445,Start,Start,2010/09/22 11:13:00.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2445,Insert ticket,Value 14,2010/09/22 11:13:00.000,Insert ticket,Value 79,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2445,Assign seriousness,Value 14,2010/09/22 11:13:17.000,Assign seriousness,Value 79,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2445,Take in charge ticket,Value 14,2010/09/22 11:13:28.000,Take in charge ticket,Value 79,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2445,Resolve ticket,Value 14,2010/09/22 11:13:42.000,Resolve ticket,Value 79,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2155,Take in charge ticket,Value 2,2010/09/22 11:25:48.000,Take in charge ticket,Value 22,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2155,Resolve ticket,Value 2,2010/09/22 11:31:27.000,Resolve ticket,Value 22,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1425,Take in charge ticket,Value 2,2010/09/22 13:45:28.000,Take in charge ticket,Value 292,complete,Value 2,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1425,Resolve ticket,Value 2,2010/09/22 13:46:52.000,Resolve ticket,Value 292,complete,Value 2,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1155,Take in charge ticket,Value 2,2010/09/22 14:06:53.000,Take in charge ticket,Value 22,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2405,Resolve ticket,Value 6,2010/09/22 14:56:53.000,Resolve ticket,Value 308,complete,Value 6,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2254,Start,Start,2010/09/22 15:53:46.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2254,Assign seriousness,Value 2,2010/09/22 15:53:46.000,Assign seriousness,Value 58,complete,Value 2,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case662,Take in charge ticket,Value 11,2010/09/22 15:58:57.000,Take in charge ticket,Value 18,complete,Value 11,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case662,Resolve ticket,Value 11,2010/09/22 16:21:30.000,Resolve ticket,Value 18,complete,Value 11,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1542,Take in charge ticket,Value 11,2010/09/22 16:22:24.000,Take in charge ticket,Value 9,complete,Value 11,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1542,Resolve ticket,Value 11,2010/09/22 16:24:06.000,Resolve ticket,Value 9,complete,Value 11,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case2254,Take in charge ticket,Value 2,2010/09/22 16:25:02.000,Take in charge ticket,Value 58,complete,Value 2,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2254,Resolve ticket,Value 2,2010/09/22 16:25:38.000,Resolve ticket,Value 58,complete,Value 2,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case815,Take in charge ticket,Value 11,2010/09/22 16:27:25.000,Take in charge ticket,Value 9,complete,Value 11,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case815,Resolve ticket,Value 11,2010/09/22 16:27:30.000,Resolve ticket,Value 9,complete,Value 11,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case228,Start,Start,2010/09/22 16:39:16.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case228,Assign seriousness,Value 14,2010/09/22 16:39:16.000,Assign seriousness,Value 118,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case4033,Take in charge ticket,Value 11,2010/09/22 16:43:05.000,Take in charge ticket,Value 100,complete,Value 11,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case4033,Resolve ticket,Value 11,2010/09/22 16:45:26.000,Resolve ticket,Value 100,complete,Value 11,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case3369,Take in charge ticket,Value 9,2010/09/23 07:55:22.000,Take in charge ticket,Value 71,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case3369,Resolve ticket,Value 9,2010/09/23 07:55:41.000,Resolve ticket,Value 71,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case2995,Take in charge ticket,Value 12,2010/09/23 09:19:02.000,Take in charge ticket,Value 9,complete,Value 12,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case228,Take in charge ticket,Value 2,2010/09/23 09:37:42.000,Take in charge ticket,Value 118,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case228,Resolve ticket,Value 2,2010/09/23 09:38:14.000,Resolve ticket,Value 118,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1155,Wait,Value 2,2010/09/23 09:55:05.000,Wait,Value 22,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case195,Take in charge ticket,Value 2,2010/09/23 10:25:07.000,Take in charge ticket,Value 10,complete,Value 2,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case3098,Start,Start,2010/09/23 10:26:42.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3098,Assign seriousness,Value 9,2010/09/23 10:26:42.000,Assign seriousness,Value 22,complete,Value 9,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3098,Take in charge ticket,Value 9,2010/09/23 10:27:50.000,Take in charge ticket,Value 22,complete,Value 9,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case396,Start,Start,2010/09/23 10:34:03.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case396,Assign seriousness,Value 9,2010/09/23 10:34:03.000,Assign seriousness,Value 75,complete,Value 9,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case4237,Wait,Value 15,2010/09/23 10:36:56.000,Wait,Value 202,complete,Value 15,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case3248,Closed,Value 5,2010/09/23 10:50:27.000,Closed,Value 8,complete,Value 5,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 1
Case3098,Resolve ticket,Value 9,2010/09/23 10:58:24.000,Resolve ticket,Value 22,complete,Value 9,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2995,Resolve ticket,Value 12,2010/09/23 11:04:17.000,Resolve ticket,Value 9,complete,Value 12,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case396,Assign seriousness,Value 2,2010/09/23 11:18:15.000,Assign seriousness,Value 75,complete,Value 2,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case2647,Start,Start,2010/09/23 11:45:47.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case2647,Assign seriousness,Value 9,2010/09/23 11:45:47.000,Assign seriousness,Value 18,complete,Value 9,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2647,Take in charge ticket,Value 9,2010/09/23 11:46:11.000,Take in charge ticket,Value 18,complete,Value 9,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2647,Resolve ticket,Value 9,2010/09/23 11:47:28.000,Resolve ticket,Value 18,complete,Value 9,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3266,Closed,Value 5,2010/09/23 15:00:20.000,Closed,Value 9,complete,Value 5,Value 3,Value 4,Value 2,Value 2,Value 2,Value 1,Value 1
Case4138,Start,Start,2010/09/23 15:09:14.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4138,Assign seriousness,Value 9,2010/09/23 15:09:14.000,Assign seriousness,Value 66,complete,Value 9,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4138,Take in charge ticket,Value 9,2010/09/23 15:09:26.000,Take in charge ticket,Value 66,complete,Value 9,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case4138,Resolve ticket,Value 9,2010/09/23 15:11:45.000,Resolve ticket,Value 66,complete,Value 9,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case2953,Resolve ticket,Value 9,2010/09/23 15:21:32.000,Resolve ticket,Value 66,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case396,Take in charge ticket,Value 2,2010/09/23 16:36:50.000,Take in charge ticket,Value 75,complete,Value 2,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case4402,Start,Start,2010/09/23 16:51:11.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4402,Assign seriousness,Value 9,2010/09/23 16:51:11.000,Assign seriousness,Value 63,complete,Value 9,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case3228,Closed,Value 5,2010/09/24 08:43:13.000,Closed,Value 76,complete,Value 5,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2
Case4130,Start,Start,2010/09/24 09:16:06.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4130,Insert ticket,Value 7,2010/09/24 09:16:06.000,Insert ticket,Value 97,complete,Value 7,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case2475,Closed,Value 5,2010/09/24 09:20:22.000,Closed,Value 152,complete,Value 5,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case4130,Assign seriousness,Value 2,2010/09/24 09:39:24.000,Assign seriousness,Value 97,complete,Value 2,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case4130,Take in charge ticket,Value 2,2010/09/24 09:41:33.000,Take in charge ticket,Value 97,complete,Value 2,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case4130,Resolve ticket,Value 2,2010/09/24 10:22:24.000,Resolve ticket,Value 97,complete,Value 2,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case4402,Take in charge ticket,Value 7,2010/09/24 11:31:55.000,Take in charge ticket,Value 63,complete,Value 7,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case4402,Wait,Value 7,2010/09/24 11:32:06.000,Wait,Value 63,complete,Value 7,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case1582,Start,Start,2010/09/24 11:33:04.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case1582,Assign seriousness,Value 9,2010/09/24 11:33:04.000,Assign seriousness,Value 9,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case965,Start,Start,2010/09/24 11:37:58.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case965,Assign seriousness,Value 9,2010/09/24 11:37:58.000,Assign seriousness,Value 162,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 2
Case509,Start,Start,2010/09/24 11:47:17.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case509,Assign seriousness,Value 9,2010/09/24 11:47:17.000,Assign seriousness,Value 183,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case4402,Wait,Value 2,2010/09/24 14:19:12.000,Wait,Value 63,complete,Value 2,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case977,Start,Start,2010/09/24 15:36:43.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case977,Assign seriousness,Value 9,2010/09/24 15:36:43.000,Assign seriousness,Value 41,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case977,Take in charge ticket,Value 9,2010/09/24 15:36:57.000,Take in charge ticket,Value 41,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case977,Wait,Value 9,2010/09/24 15:59:26.000,Wait,Value 41,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case509,Take in charge ticket,Value 2,2010/09/24 16:16:20.000,Take in charge ticket,Value 183,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case109,Start,Start,2010/09/24 16:35:31.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case109,Assign seriousness,Value 14,2010/09/24 16:35:31.000,Assign seriousness,Value 66,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1002,Closed,Value 5,2010/09/25 11:40:32.000,Closed,Value 18,complete,Value 5,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case3411,Start,Start,2010/09/27 08:01:00.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case3411,Assign seriousness,Value 9,2010/09/27 08:01:00.000,Assign seriousness,Value 5,complete,Value 9,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case3411,Take in charge ticket,Value 2,2010/09/27 08:27:51.000,Take in charge ticket,Value 5,complete,Value 2,Value 3,Value 1,Value 2,Value 3,Value 1,Value 1,Value 1
Case109,Take in charge ticket,Value 9,2010/09/27 10:11:48.000,Take in charge ticket,Value 66,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case2336,Create SW anomaly,Value 14,2010/09/27 10:59:47.000,Create SW anomaly,Value 22,complete,Value 14,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case172,Resolve ticket,Value 14,2010/09/27 11:08:54.000,Resolve ticket,Value 65,complete,Value 14,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case195,Wait,Value 14,2010/09/27 11:09:43.000,Wait,Value 10,complete,Value 14,Value 3,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case4402,Take in charge ticket,Value 7,2010/09/27 11:50:53.000,Take in charge ticket,Value 63,complete,Value 7,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case4402,Resolve ticket,Value 7,2010/09/27 11:51:32.000,Resolve ticket,Value 63,complete,Value 7,Value 3,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case509,Wait,Value 2,2010/09/27 14:41:58.000,Wait,Value 183,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case423,Resolve ticket,Value 6,2010/09/27 16:22:43.000,Resolve ticket,Value 22,complete,Value 6,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2
Case907,Start,Start,2010/09/27 16:32:23.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case907,Assign seriousness,Value 9,2010/09/27 16:32:23.000,Assign seriousness,Value 58,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 2
Case396,Resolve ticket,Value 2,2010/09/27 16:37:58.000,Resolve ticket,Value 75,complete,Value 2,Value 3,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case109,Wait,Value 9,2010/09/28 09:31:41.000,Wait,Value 66,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case690,Start,Start,2010/09/28 09:44:18.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case690,Assign seriousness,Value 12,2010/09/28 09:44:18.000,Assign seriousness,Value 92,complete,Value 12,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case690,Assign seriousness,Value 2,2010/09/28 09:48:12.000,Assign seriousness,Value 92,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case509,Wait,Value 2,2010/09/28 09:49:02.000,Wait,Value 183,complete,Value 2,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case125,Closed,Value 5,2010/09/28 09:49:59.000,Closed,Value 76,complete,Value 5,Value 3,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case4072,Start,Start,2010/09/28 09:56:53.000,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start,Start
Case4072,Assign seriousness,Value 9,2010/09/28 09:56:53.000,Assign seriousness,Value 92,complete,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case690,Take in charge ticket,Value 6,2010/09/28 10:24:04.000,Take in charge ticket,Value 92,complete,Value 6,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case690,Resolve ticket,Value 6,2010/09/28 10:24:28.000,Resolve ticket,Value 92,complete,Value 6,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case4072,Take in charge ticket,Value 6,2010/09/28 10:24:55.000,Take in charge ticket,Value 92,complete,Value 6,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
